index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
196,420535736,0,,79000.0;233.0;0.46;1.65
197,420536769,0,,40000.0;71.0;0.46;1.69
198,420536558,0,,151000.0;188.0;0.46;1.49
199,420534522,0,,334000.0;866.0;0.46;1.22
200,420534933,0,,308000.0;516.0;0.46;1.26
201,420534299,0,,308000.0;863.0;0.46;1.26
202,420533901,0,,184000.0;696.0;0.46;1.42
203,420535140,0,,33000.0;71.0;0.46;1.7
204,420534932,0,,73000.0;350.0;0.46;1.68
205,420533111,0,,288000.0;535.0;0.46;1.25
206,420534301,0,,20000.0;93.0;0.46;1.7
207,420534300,0,,112000.0;375.0;0.46;1.62
208,420534721,0,,53000.0;117.0;0.46;1.68
209,420534298,0,,46000.0;71.0;0.46;1.68
210,420533109,0,,158000.0;233.0;0.46;1.47
211,420533706,0,,190000.0;562.0;0.46;1.44
212,420533897,0,,118000.0;326.0;0.46;1.54
213,420533289,0,,59000.0;93.0;0.46;1.68
214,420532309,0,,308000.0;698.0;0.46;1.23
215,420532308,0,,328000.0;537.0;0.46;1.25
216,420532112,0,,125000.0;210.0;0.46;1.53
217,420531685,0,,125000.0;350.0;0.46;1.53
218,420530479,0,,603000.0;1074.0;0.46;1.19
219,420533896,0,,86000.0;213.0;0.46;1.65
220,420533290,0,,72000.0;233.0;0.46;1.68
221,420532311,0,,164000.0;258.0;0.46;1.46
222,420530053,0,,282000.0;839.0;0.46;1.3
223,420531687,0,,33000.0;71.0;0.46;1.7
224,420531282,0,,99000.0;304.0;0.46;1.65
225,420529642,0,,158000.0;233.0;0.46;1.48
226,420529424,0,,131000.0;233.0;0.46;1.52
227,420527779,0,,727000.0;1541.0;0.46;1.23
228,420528175,0,,288000.0;627.0;0.45;1.28
229,420559164,0,,53000.0;93.0;0.46;1.75
230,420558551,0,,250000.0;397.0;0.46;1.44
231,420556820,0,,413000.0;1000.9999999999999;0.46;1.17
232,420557264,0,,191000.0;559.0;0.47;1.47
233,420557666,0,,20000.0;71.0;0.44;1.75
234,420556418,0,,295000.0;492.0;0.45;1.21
235,420556420,0,,27000.0;234.0;0.46;1.75
236,420554046,0,,453000.0;1167.0;0.44;1.16
237,420560038,0,,335000.0;1022.0;0.46;1.18
238,420560039,0,,289000.0;813.0;0.46;1.22
239,420560040,0,,118000.0;350.0;0.46;1.55
240,420559163,0,,295000.0;679.0;0.46;1.22
241,420558774,0,,171000.0;304.0;0.46;1.46
242,420558334,0,,191000.0;629.0;0.45;1.45
243,420558119,0,,99000.0;259.0;0.46;1.7
244,420557046,0,,184000.0;330.0;0.44;1.46
245,420557665,0,,204000.0;492.0;0.45;1.45
246,420559821,0,,538000.0;1029.0;0.46;1.15
247,420559162,0,,171000.0;633.0;0.44;1.46
